title,description,target
Apple launches new iPhone,Sales of the new iPhone are expected to boost quarterly profits,1
Apple faces supply chain issues,Component shortages delay shipments and affect margins,0
Tesla beats earnings expectations,Tesla reports record Q2 profits and rising delivery numbers,1
Tesla recalls vehicles,Faulty software triggers massive recall affecting thousands,0
Google expands AI efforts,Launch of new Gemini AI tools boosts market confidence,1
Google hit with antitrust lawsuit,Government lawsuit threatens Google's ad business,0
Meta launches Threads app,New app gains millions of users within 24 hours,1
Meta faces privacy concerns,European regulators crack down on data handling,0
Amazon Prime Day drives sales,Huge discounts attract record numbers of shoppers,1
Amazon warehouse workers strike,Labor issues disrupt deliveries and logistics,0
