title,description,publishedAt,polarity,sentiment,date,close,next_close,difference,target,company
Apple’s plan for an iPhone and MacBook crossover is pure genius,"A new MacBook is in the making, and it sounds awesome.",2025-07-03T22:04:31Z,0.2142857142857142,positive,2025-07-03 22:04:31,213.5500030517578,,,0,Apple
captcha-desktop infestation,"captcha-desktop infestation - posted in Virus, Trojan, Spyware, and Malware Removal Help: captcha-desktop infestation. besides pop-ups, PC is running slow, track pad is often unusable (going nuts intermittently, sometimes non-responsive).
 
Malwarebytes and W…",2025-07-03T22:05:12Z,0.0,neutral,2025-07-03 22:05:12,213.5500030517578,,,0,Apple
captcha-desktop infestation,"captcha-desktop infestation - posted in Virus, Trojan, Spyware, and Malware Removal Help: captcha-desktop infestation. besides pop-ups, PC is running slow, track pad is often unusable (going nuts intermittently, sometimes non-responsive).
 
Malwarebytes and W…",2025-07-03T22:07:37Z,0.0,neutral,2025-07-03 22:07:37,213.5500030517578,,,0,Apple
Have you heard? Pirate Software leaves Ludwig’s company while Lilly Singh’s movie gets distribution,"Each week, we handpick a selection of stories to give you a snapshot of trends, updates, business moves, and more from around the creator industry. This week, one creator got back on the job market, another got a deal for her movie, and a third got some chick…",2025-07-03T22:09:06Z,0.0,neutral,2025-07-03 22:09:06,213.5500030517578,,,0,Apple
Eric Adams’ indicted former top aide Ingrid Lewis-Martin returns to his inner circle — as mayor fails to shed problematic cronies amid tough re-election fight,"Hizzoner is refusing to shake scandal-scarred cronies who plagued his first administration — while telling skittish backers that they have been taken off his re-election campaign, The Post has learned.",2025-07-03T22:10:34Z,-0.0777777777777777,neutral,2025-07-03 22:10:34,213.5500030517578,,,0,Apple
"Apple Celebrates Opening of New Osaka, Japan Store With iPhone, iPad, and Mac Wallpaper","Apple has announced that it will be opening an all-new store at the Grand Front shopping complex in Osaka, Japan, on Saturday, July 26.Read More...",2025-07-03T22:14:14Z,0.1363636363636363,positive,2025-07-03 22:14:14,213.5500030517578,,,0,Apple
Lilbits: Could AMD’s Strix Halo chips be used in handhelds and fanless desktops?,"AMD’s Ryzen AI Max+ 395 Strix Halo processor is a powerhouse chip with 16 cores, 32 threads, Radeon 8060S integrated graphics with a 40-core GPU, and an NPU that delivers up to 50 TOPS of AI performance. It’s nominally a mobile chip designed for laptops, but …",2025-07-03T22:23:43Z,0.0,neutral,2025-07-03 22:23:43,213.5500030517578,,,0,Apple
2012 Jeep Wrangler Unlimited Rubicon at No Reserve,"This 2012 Jeep Wrangler Unlimited Rubicon is finished in black over orange leather and powered by a 3.6-liter V6 linked to a five-speed automatic transmission, a dual-range transfer case, and Dana 44 axles with Tru-Lok differentials. Equipment includes a 4"" s…",2025-07-03T22:25:09Z,0.0,neutral,2025-07-03 22:25:09,213.5500030517578,,,0,Apple
New Report Provides Insight on Apple’s Future Mac Roadmap,AppleInsider's Marko Zivkovic today posted what he says is a list of identifiers for the Mac models that we should see roll out over the next year or so.Read More...,2025-07-03T22:32:42Z,0.0681818181818181,neutral,2025-07-03 22:32:42,213.5500030517578,,,0,Apple
Honduran family freed from detention after lawsuit against ICE courthouse arrests,They had been held for weeks in the Dilley Immigration Processing Center in Texas.,2025-07-03T22:34:51Z,0.0,neutral,2025-07-03 22:34:51,213.5500030517578,,,0,Apple
Report: Microsoft's 2025 layoffs revolve around its desperate $80 billion AI infrastructure investment,"The Redmond giant has laid off over 15,000 people in 2025, and a report claims it's all in the name of freeing up spending money to invest more heavily in AI infrastructure, as Microsoft closes in on NVIDIA as most valuable company.",2025-07-03T22:35:51Z,-0.6,negative,2025-07-03 22:35:51,213.5500030517578,,,0,Apple
Paramount+ Now Only $0.99 to Celebrate Release of New Dexter Show,"Paramount+ is offering one heck of a deal in celebration of the imminent release of Dexter: Resurrection. There are so many subscription services out there and they can really add up in price. Sometimes you just want to subscribe for a single show, but that c…",2025-07-03T22:48:22Z,0.0681818181818181,neutral,2025-07-03 22:48:22,213.5500030517578,,,0,Apple
Brad Pitt Says Tom Cruise Dropped Out of ‘Ford v. Ferrari’ When He Realized He ‘Would Not Be Driving That Much’,'F1' star Brad Pitt says Tom Cruise dropped out of 'Ford v. Ferrari' after he realized he wouldn't actually be doing much driving.,2025-07-03T23:00:00Z,0.2,positive,2025-07-03 23:00:00,213.5500030517578,,,0,Apple
iPhone 17 Pro Max's battery capacity rumored to be larger than its predecessor's,"The iPhone 17 Pro Max will come with a larger battery than its predecessor's 4,685 mAh cell. According to a new rumor out of China today, the iPhone 17 Pro Max will finally be the first iPhone to reach 5,000 mAh.

As you may know, that's pretty much been the …",2025-07-03T23:02:02Z,0.0,neutral,2025-07-03 23:02:02,213.5500030517578,,,0,Apple
